"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.584653190E-1;-4.294518471E0;8.669196129E0;1.291526079E0;9.760424685E0
1.606173880E-1;-4.284946918E0;8.678768158E0;1.286740422E0;9.764091752E0
1.628011250E-1;-4.294518471E0;8.673981667E0;1.272383451E0;9.762161979E0
1.649693880E-1;-4.299304008E0;8.654839516E0;1.272383451E0;9.747267394E0
1.671467250E-1;-4.294518471E0;8.650053978E0;1.262812138E0;9.739662069E0
1.693106350E-1;-4.299304008E0;8.659625053E0;1.272383451E0;9.751516839E0
1.714716670E-1;-4.308875561E0;8.650053978E0;1.267597795E0;9.746622317E0
1.736574080E-1;-4.299304008E0;8.659625053E0;1.281954765E0;9.752770327E0
1.758277860E-1;-4.289732933E0;8.654839516E0;1.272383451E0;9.743049591E0
1.780014320E-1;-4.294518471E0;8.659625053E0;1.272383451E0;9.749407911E0
1.801628090E-1;-4.304089546E0;8.659625053E0;1.286740422E0;9.755510945E0
1.823195380E-1;-4.294518471E0;8.673981667E0;1.301097274E0;9.765945984E0
1.845113400E-1;-4.294518471E0;8.673981667E0;1.281954765E0;9.763414099E0
1.866814450E-1;-4.308875561E0;8.664410591E0;1.281954765E0;9.761241085E0
1.888575830E-1;-4.304089546E0;8.669196129E0;1.277169108E0;9.762751112E0
1.910213500E-1;-4.294518471E0;8.669196129E0;1.262812138E0;9.756666691E0
1.931831040E-1;-4.299304008E0;8.669196129E0;1.272383451E0;9.760017220E0
1.953663910E-1;-4.304089546E0;8.678768158E0;1.272383451E0;9.770627575E0
1.975363850E-1;-4.318446636E0;8.697910309E0;1.258026481E0;9.792101701E0
1.997102140E-1;-4.323232174E0;8.664410591E0;1.305882931E0;9.770756242E0
2.018782230E-1;-4.332803726E0;8.673981667E0;1.320239902E0;9.785406454E0
2.040498340E-1;-4.332803726E0;8.688339233E0;1.296311617E0;9.794940049E0
2.062218200E-1;-4.318446636E0;8.693124771E0;1.296311617E0;9.792845523E0
2.083930240E-1;-4.313661098E0;8.697910309E0;1.305882931E0;9.796256736E0
2.105645640E-1;-4.313661098E0;8.692526817E0;1.325025558E0;9.794048564E0
2.127278740E-1;-4.308875561E0;8.706883430E0;1.348953724E0;9.807951051E0
2.148826270E-1;-4.304089546E0;8.716454506E0;1.334596872E0;9.812385785E0
2.170739020E-1;-4.323232174E0;8.726025581E0;1.348953724E0;9.831252973E0
2.192443840E-1;-4.323232174E0;8.735597610E0;1.320239902E0;9.835854586E0
2.214211930E-1;-4.308875561E0;8.740383148E0;1.343569875E0;9.836965293E0
2.235828550E-1;-4.318446636E0;8.726025581E0;1.363310695E0;9.831130141E0
2.257367340E-1;-4.328018188E0;8.721240044E0;1.353739381E0;9.829770071E0
2.279336440E-1;-4.323232174E0;8.745168686E0;1.357926846E0;9.849481057E0
2.301027320E-1;-4.313661098E0;8.749954224E0;1.348355532E0;9.848219820E0
2.322795910E-1;-4.318446636E0;8.735597610E0;1.320239902E0;9.833752100E0
2.344436830E-1;-4.299304008E0;8.730812073E0;1.334596872E0;9.823046534E0
2.366153350E-1;-4.294518471E0;8.735597610E0;1.358525038E0;9.828486393E0
2.387827650E-1;-4.299304008E0;8.716454506E0;1.344168067E0;9.811594259E0
2.409439790E-1;-4.289732933E0;8.740383148E0;1.329811215E0;9.826723975E0
2.431289060E-1;-4.299304008E0;8.740383148E0;1.344168067E0;9.832858197E0
2.452962840E-1;-4.299304008E0;8.740383148E0;1.348355532E0;9.833431506E0
2.474599710E-1;-4.299304008E0;8.749954224E0;1.357926846E0;9.843255518E0
2.496407370E-1;-4.299304008E0;8.754739761E0;1.348355532E0;9.846194488E0
2.518086450E-1;-4.289732933E0;8.759525299E0;1.324427366E0;9.843027987E0
2.539731750E-1;-4.308875561E0;8.759525299E0;1.338784218E0;9.853326101E0
2.561510210E-1;-4.299304008E0;8.764310837E0;1.343569875E0;9.854051929E0
2.583117570E-1;-4.299304008E0;8.764310837E0;1.333998680E0;9.852751488E0
2.604881180E-1;-4.323232174E0;8.764310837E0;1.319641709E0;9.861284658E0
2.626692200E-1;-4.313661098E0;8.769096375E0;1.333998680E0;9.863279159E0
2.648415820E-1;-4.318446636E0;8.783453941E0;1.329213023E0;9.877492179E0
2.670115150E-1;-4.323232174E0;8.783453941E0;1.319641709E0;9.878302172E0
2.691808070E-1;-4.299304008E0;8.778668404E0;1.319641709E0;9.863594078E0
2.713565880E-1;-4.304089546E0;8.769096375E0;1.310070395E0;9.855887707E0
2.735227670E-1;-4.304089546E0;8.764310837E0;1.310070395E0;9.851630104E0
2.756914060E-1;-4.284946918E0;8.773882866E0;1.310070395E0;9.851805676E0
2.778627820E-1;-4.270590305E0;8.774480820E0;1.300499082E0;9.844833827E0
2.800314030E-1;-4.275375843E0;8.755337715E0;1.305882931E0;9.830570041E0
2.821923530E-1;-4.246662140E0;8.745766640E0;1.296311617E0;9.808312661E0
2.843796900E-1;-4.232305050E0;8.755337715E0;1.315454245E0;9.813193385E0
