2.08; 5.8; 5.28
2.08; 5.8; 5.28
2.16; 6.03; 5.42
1.93; 6.41; 5.67
1.7; 6.68; 5.78
1.73; 6.68; 5.49
1.73; 6.68; 5.49
1.9; 6.51; 5.41
2.11; 6.22; 5.25
2.23; 5.74; 5.06
2.04; 5.43; 5.13
2.04; 5.43; 5.13
2.06; 5.18; 4.75
2.3; 4.83; 4.92
2.4; 4.44; 5.51
2.59; 4.34; 5.84
2.59; 4.34; 5.84
2.77; 4.39; 6.35
2.67; 4.28; 6.74
2.77; 4.29; 7.43
2.91; 4.44; 7.78
2.91; 4.44; 7.78
2.82; 4.67; 7.99
2.75; 4.93; 8.04
2.91; 5.17; 7.94
3.05; 5.27; 7.85
3.05; 5.27; 7.85
2.77; 5.24; 7.6
2.71; 5.32; 7.6
2.75; 5.52; 7.45
3.01; 5.8; 7.46
3.01; 5.8; 7.46
3.11; 6.07; 7.56
3.09; 6.37; 7.53
3.2; 6.64; 7.55
3.02; 6.83; 7.32
3.02; 6.83; 7.32
3.07; 7.02; 7.26
3.19; 7.07; 7.07
3.28; 7.15; 6.65
3.37; 7.18; 6.39
3.37; 7.18; 6.39
3.58; 7.06; 6.2
3.97; 6.94; 5.98
4.27; 6.75; 5.97
4.51; 6.52; 6.16
4.51; 6.52; 6.16
4.62; 6.37; 6.35
4.61; 6.2; 6.42
4.48; 6.01; 6.58
4.32; 5.8; 6.78
4.32; 5.8; 6.78
4.32; 5.7; 6.96
3.92; 5.8; 6.87
3.55; 5.99; 6.89
3.35; 6.19; 6.76
3.35; 6.19; 6.76
3.07; 6.27; 6.7
2.76; 6.29; 6.63
2.48; 6.32; 6.69
2.32; 6.25; 6.84
2.32; 6.25; 6.84
2.23; 6.2; 6.96
2.21; 6.08; 7.52
2.12; 6.08; 7.59
2.12; 6.08; 7.59
1.98; 6.05; 7.57
1.89; 6.06; 7.65
1.82; 6.13; 7.7
1.79; 6.33; 7.72
1.79; 6.33; 7.72
1.79; 6.56; 7.52
1.92; 6.82; 7.35
2.01; 7.0; 6.95
2.13; 6.96; 6.6
2.43; 6.66; 6.3
2.31; 6.68; 6.3
2.56; 6.4; 6.19
2.77; 6.17; 6.22
3.07; 5.95; 6.42
3.37; 5.88; 6.64
3.37; 5.88; 6.64
3.6; 5.8; 6.9
3.76; 5.77; 6.95
3.78; 5.7; 6.93
3.8; 5.64; 6.88
3.8; 5.64; 6.88
3.88; 5.77; 6.71
3.86; 5.91; 6.45
3.73; 5.97; 6.15
3.75; 6.07; 5.92
3.75; 6.07; 5.92
3.7; 6.11; 5.82
3.71; 6.2; 5.82
3.7; 6.31; 6.03
3.7; 6.31; 6.03
3.65; 6.4; 6.16
3.98; 6.49; 6.19
3.72; 6.46; 6.05
3.49; 6.51; 5.98
3.49; 6.51; 5.98
3.58; 6.48; 5.8
3.77; 6.21; 5.72
3.86; 6.08; 5.65
3.96; 5.92; 5.53
3.96; 5.92; 5.53
3.95; 5.91; 5.27
2.8; -6.71; 7.32
5.07; -0.38; 7.71
3.94; 1.61; 7.76
3.94; 1.61; 7.76
3.99; 4.35; 7.39
4.21; 5.03; 6.89
4.04; 5.56; 6.45
4.1; 6.13; 5.96
4.1; 6.13; 5.96
3.99; 6.73; 5.6
3.88; 7.21; 5.13
3.77; 7.62; 4.88
3.53; 7.7; 4.42
3.53; 7.7; 4.42
3.49; 7.61; 4.67
3.42; 7.21; 4.91
3.47; 7.2; 5.73
3.69; 7.21; 5.26
3.69; 7.21; 5.26
3.62; 6.48; 5.22
3.71; 6.52; 5.76
4.13; 6.04; 7.06
3.94; 5.92; 8.0
3.94; 5.92; 8.0
3.67; 5.5; 8.73
3.33; 5.49; 8.35
3.19; 5.86; 7.9
3.21; 6.0; 7.17
3.21; 6.0; 7.17
3.76; 5.92; 6.19
4.23; 6.03; 5.52
4.57; 5.69; 4.67
4.57; 5.69; 4.67
4.97; 6.18; 5.02
5.46; 6.04; 6.1
5.54; 6.03; 6.74
5.01; 6.26; 6.94
5.01; 6.26; 6.94
4.6; 6.02; 6.18
4.62; 5.58; 6.32
4.79; 5.18; 5.76
5.21; 5.13; 5.97
5.21; 5.13; 5.97
5.25; 5.25; 6.48
4.09; 4.54; 6.62
3.05; 3.68; 6.09
3.02; 2.98; 6.47
3.02; 2.98; 6.47
3.56; 2.84; 6.23
3.63; 2.77; 5.75
3.45; 3.11; 5.8
3.96; 3.25; 6.01
3.96; 3.25; 6.01
3.97; 3.1; 5.75
3.4; 3.07; 5.43
2.72; 2.52; 5.65
1.85; 2.71; 6.09
1.85; 2.71; 6.09
1.43; 3.56; 7.32
1.27; 4.37; 8.27
0.58; 4.16; 8.78
-0.68; 3.27; 8.98
-0.68; 3.27; 8.98
-1.64; 2.7; 8.23
-2.19; 2.16; 8.94
-2.11; 2.74; 8.38
-2.17; 3.24; 8.32
-2.17; 3.24; 8.32
-2.15; 3.64; 7.66
-1.55; 3.6; 7.53
-1.63; 3.56; 7.4
-1.76; 3.66; 7.51
-1.76; 3.66; 7.51
-1.82; 3.73; 7.73
-1.84; 3.6; 7.7
-1.75; 3.44; 7.32
-1.6; 3.5; 7.03
