59 ; 80
58 ; 80
59 ; 80
58 ; 80
59 ; 80
58 ; 80
59 ; 79
59 ; 78
62 ; 79
60 ; 78
61 ; 79
60 ; 78
60 ; 78
59 ; 78
59 ; 79
59 ; 79
58 ; 81
57 ; 80
58 ; 81
58 ; 79
59 ; 80
58 ; 79
59 ; 79
58 ; 79
59 ; 78
60 ; 78
61 ; 78
60 ; 77
61 ; 78
59 ; 77
59 ; 79
59 ; 78
58 ; 79
59 ; 79
58 ; 81
59 ; 80
58 ; 81
57 ; 79
59 ; 79
59 ; 78
60 ; 78
59 ; 79
60 ; 78
60 ; 78
60 ; 78
61 ; 77
60 ; 78
59 ; 78
59 ; 79
59 ; 79
58 ; 79
60 ; 79
58 ; 79
59 ; 80
58 ; 79
59 ; 79
59 ; 78
60 ; 79
60 ; 77
62 ; 78
60 ; 78
59 ; 79
59 ; 77
59 ; 78
59 ; 78
59 ; 80
58 ; 79
58 ; 81
57 ; 79
59 ; 80
58 ; 79
59 ; 79
58 ; 79
59 ; 79
59 ; 78
60 ; 78
60 ; 77
61 ; 78
60 ; 78
60 ; 79
58 ; 78
59 ; 78
58 ; 78
58 ; 79
59 ; 80
58 ; 81
57 ; 80
58 ; 80
58 ; 79
59 ; 78
59 ; 79
60 ; 78
60 ; 78
60 ; 78
61 ; 77
60 ; 78
60 ; 78
60 ; 79
59 ; 79
58 ; 79
58 ; 79
58 ; 79
59 ; 80
58 ; 80
59 ; 80
58 ; 79
59 ; 79
59 ; 78
61 ; 78
60 ; 78
61 ; 79
60 ; 77
60 ; 78
59 ; 78
59 ; 79
59 ; 79
59 ; 80
57 ; 80
58 ; 80
57 ; 80
59 ; 79
58 ; 79
59 ; 79
58 ; 79
58 ; 78
59 ; 77
60 ; 77
60 ; 77
61 ; 78
59 ; 77
60 ; 79
59 ; 78
59 ; 78
59 ; 78
58 ; 80
57 ; 79
58 ; 81
58 ; 79
59 ; 80
59 ; 78
59 ; 78
59 ; 79
60 ; 79
60 ; 78
60 ; 78
60 ; 77
60 ; 78
60 ; 78
59 ; 79
58 ; 79
58 ; 79
58 ; 80
58 ; 80
59 ; 80
57 ; 79
59 ; 80
58 ; 80
59 ; 79
59 ; 77
61 ; 79
60 ; 78
61 ; 79
59 ; 77
59 ; 79
59 ; 78
59 ; 79
59 ; 79
57 ; 80
56 ; 78
58 ; 81
58 ; 79
61 ; 82
58 ; 79
58 ; 79
58 ; 78
59 ; 78
59 ; 77
61 ; 78
60 ; 77
61 ; 79
59 ; 77
59 ; 79
59 ; 77
58 ; 79
58 ; 79
58 ; 81
58 ; 80
58 ; 81
58 ; 80
58 ; 79
58 ; 78
59 ; 78
59 ; 79
59 ; 78
59 ; 78
60 ; 77
60 ; 78
60 ; 79
59 ; 78
59 ; 79
59 ; 79
58 ; 80
59 ; 80
58 ; 80
59 ; 80
58 ; 80
59 ; 80
58 ; 80
60 ; 79
60 ; 78
61 ; 79
61 ; 78
61 ; 80
59 ; 79
60 ; 79
59 ; 78
59 ; 80
59 ; 80
58 ; 82
57 ; 81
58 ; 81
58 ; 80
58 ; 79
58 ; 81
59 ; 79
58 ; 79
59 ; 79
59 ; 77
61 ; 79
59 ; 78
61 ; 80
59 ; 78
59 ; 79
59 ; 79
59 ; 79
59 ; 79
59 ; 81
58 ; 81
58 ; 82
57 ; 80
58 ; 80
59 ; 79
59 ; 80
59 ; 80
60 ; 80
60 ; 79
60 ; 80
60 ; 78
60 ; 80
60 ; 80
60 ; 80
59 ; 80
58 ; 81
59 ; 81
59 ; 81
59 ; 81
58 ; 81
59 ; 81
58 ; 80
60 ; 80
59 ; 79
62 ; 80
60 ; 80
61 ; 80
59 ; 79
60 ; 80
59 ; 80
60 ; 81
59 ; 81
59 ; 82
58 ; 81
58 ; 82
57 ; 81
59 ; 81
58 ; 80
59 ; 80
58 ; 79
59 ; 80
59 ; 79
61 ; 80
60 ; 79
61 ; 80
59 ; 80
59 ; 80
58 ; 79
59 ; 80
59 ; 79
59 ; 81
58 ; 81
58 ; 82
58 ; 80
59 ; 81
59 ; 80
60 ; 80
59 ; 80
60 ; 80
60 ; 79
60 ; 79
60 ; 78
60 ; 79
60 ; 80
59 ; 81
59 ; 79
58 ; 81
59 ; 80
59 ; 81
60 ; 81
60 ; 82
60 ; 81
59 ; 80
60 ; 79
60 ; 78
61 ; 79
60 ; 78
61 ; 79
59 ; 78
59 ; 78
59 ; 78
59 ; 80
59 ; 80
59 ; 81
57 ; 80
58 ; 81
57 ; 80
59 ; 79
58 ; 79
58 ; 78
59 ; 78
59 ; 78
60 ; 78
61 ; 78
60 ; 77
61 ; 79
59 ; 77
59 ; 78
58 ; 78
59 ; 78
58 ; 79
58 ; 80
58 ; 80
58 ; 80
57 ; 79
59 ; 78
59 ; 78
60 ; 78
59 ; 79
58 ; 74
58 ; 78
60 ; 80
61 ; 83
65 ; 91
69 ; 98
69 ; 105
72 ; 109
67 ; 104
65 ; 99
62 ; 96
60 ; 92
58 ; 89
59 ; 88
59 ; 86
60 ; 87
60 ; 85
62 ; 86
60 ; 86
60 ; 87
59 ; 86
60 ; 87
59 ; 87
59 ; 88
58 ; 87
58 ; 88
57 ; 86
59 ; 86
57 ; 84
59 ; 83
58 ; 83
58 ; 82
59 ; 80
59 ; 80
60 ; 78
61 ; 78
60 ; 78
60 ; 79
58 ; 78
58 ; 78
59 ; 79
59 ; 80
59 ; 81
58 ; 82
58 ; 81
58 ; 81
59 ; 79
60 ; 80
59 ; 80
59 ; 80
58 ; 78
59 ; 79
60 ; 79
61 ; 80
61 ; 80
60 ; 81
60 ; 82
59 ; 82
60 ; 81
59 ; 83
59 ; 83
58 ; 83
59 ; 83
58 ; 81
60 ; 82
59 ; 80
61 ; 80
60 ; 79
61 ; 79
60 ; 79
59 ; 80
59 ; 79
60 ; 80
59 ; 80
59 ; 82
57 ; 81
58 ; 81
57 ; 81
58 ; 79
58 ; 79
58 ; 79
58 ; 80
60 ; 79
60 ; 78
61 ; 79
60 ; 78
60 ; 80
59 ; 79
59 ; 79
59 ; 78
58 ; 79
58 ; 80
58 ; 81
58 ; 80
58 ; 80
58 ; 80
59 ; 79
58 ; 78
59 ; 79
59 ; 78
60 ; 78
60 ; 78
60 ; 78
60 ; 78
60 ; 79
59 ; 78
58 ; 80
58 ; 80
58 ; 80
59 ; 80
58 ; 80
59 ; 80
57 ; 80
59 ; 79
59 ; 78
60 ; 79
60 ; 78
61 ; 79
60 ; 77
60 ; 78
59 ; 78
59 ; 79
59 ; 79
58 ; 81
58 ; 81
58 ; 82
57 ; 80
59 ; 80
58 ; 79
58 ; 79
58 ; 78
59 ; 78
60 ; 78
61 ; 78
60 ; 78
61 ; 79
58 ; 78
59 ; 78
59 ; 78
59 ; 79
58 ; 80
58 ; 81
58 ; 80
58 ; 81
58 ; 79
58 ; 79
58 ; 79
59 ; 78
59 ; 78
60 ; 78
60 ; 78
60 ; 77
60 ; 77
59 ; 79
59 ; 78
58 ; 79
58 ; 79
58 ; 79
59 ; 79
58 ; 79
59 ; 79
58 ; 79
59 ; 79
59 ; 77
60 ; 78
60 ; 77
61 ; 78
60 ; 78
60 ; 79
59 ; 78
59 ; 79
59 ; 79
59 ; 81
58 ; 80
59 ; 81
57 ; 79
58 ; 80
58 ; 79
58 ; 80
58 ; 79
59 ; 78
59 ; 77
61 ; 78
60 ; 78
61 ; 79
59 ; 77
59 ; 79
58 ; 78
58 ; 79
58 ; 80
58 ; 81
58 ; 80
58 ; 81
57 ; 79
59 ; 79
58 ; 79
59 ; 79
59 ; 79
60 ; 79
60 ; 77
60 ; 78
60 ; 78
60 ; 79
59 ; 79
58 ; 79
59 ; 80
58 ; 80
59 ; 80
58 ; 80
59 ; 80
58 ; 79
59 ; 79
59 ; 77
61 ; 78
60 ; 77
61 ; 79
60 ; 78
60 ; 78
59 ; 77
59 ; 79
59 ; 79
58 ; 80
58 ; 80
58 ; 81
58 ; 83
60 ; 103
65 ; 146
102 ; 222
160 ; 306
204 ; 367
217 ; 390
218 ; 387
215 ; 365
218 ; 357
222 ; 361
231 ; 378
250 ; 414
292 ; 493
338 ; 579
357 ; 619
403 ; 704
467 ; 815
506 ; 887
548 ; 963
583 ; 1024
